item_id,id,domain,split,condition,prompt,prompt_hash,original_question,rewritten_question,choices,choice_A,choice_B,choice_C,choice_D,gold_answer,gold_anachronism_terms,forbidden_terms,required_primitives,primitive_phrase,human_validated,detected_terms,detector_token_scores,mapped_primitives,model_info,rewrite_validation,repair_attempts,pass_validation
fixed_q027,fixed_q027,Medicine_Biology,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
When attempting targeting one marker on a diseased cell, what is the clearest justification for using monoclonal antibody?

Choices:
A. It binds mainly to the chosen marker instead of many unrelated ones.
B. It may replace or support damaged specialized cells.
C. It turns specific binding into a visible measurement.
D. It uses little sample and short paths to speed measurement.
",0d5c5c88743a40ce,"When attempting targeting one marker on a diseased cell, what is the clearest justification for using monoclonal antibody?","When attempting targeting one marker on a diseased cell, what is the clearest justification for using monoclonal antibody?","{""A"": ""It binds mainly to the chosen marker instead of many unrelated ones."", ""B"": ""It may replace or support damaged specialized cells."", ""C"": ""It turns specific binding into a visible measurement."", ""D"": ""It uses little sample and short paths to speed measurement.""}",It binds mainly to the chosen marker instead of many unrelated ones.,It may replace or support damaged specialized cells.,It turns specific binding into a visible measurement.,It uses little sample and short paths to speed measurement.,A,"[""monoclonal antibody""]","[""monoclonal antibody""]","[""monoclonal_antibody""]",uses many copies of a single highly specific defensive molecule,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q028,fixed_q028,Medicine_Biology,test,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Which description captures the useful function of insulin pump in the context of controlling blood sugar through the day?

Choices:
A. It binds mainly to the chosen marker instead of many unrelated ones.
B. It adjusts dosing more continuously than occasional injections.
C. It allows medical judgment without both people being in one room.
D. It reduces the chance that the body rejects the donated organ.
",3267e805f55a6a0e,Which description captures the useful function of insulin pump in the context of controlling blood sugar through the day?,Which description captures the useful function of insulin pump in the context of controlling blood sugar through the day?,"{""A"": ""It binds mainly to the chosen marker instead of many unrelated ones."", ""B"": ""It adjusts dosing more continuously than occasional injections."", ""C"": ""It allows medical judgment without both people being in one room."", ""D"": ""It reduces the chance that the body rejects the donated organ.""}",It binds mainly to the chosen marker instead of many unrelated ones.,It adjusts dosing more continuously than occasional injections.,It allows medical judgment without both people being in one room.,It reduces the chance that the body rejects the donated organ.,B,"[""insulin pump""]","[""insulin pump""]","[""insulin_pump""]",releases measured small doses of medicine through a wearable device,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q029,fixed_q029,Medicine_Biology,dev,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
For a case involving estimating oxygen in the blood without drawing blood, why is pulse oximeter relevant?

Choices:
A. It forms pictures from returning sound waves.
B. It distinguishes soft tissues without using a knife.
C. It uses light absorption differences to estimate oxygen level.
D. It reconstructs slices that show internal structure.
",4e3998b2aa559fc1,"For a case involving estimating oxygen in the blood without drawing blood, why is pulse oximeter relevant?","For a case involving estimating oxygen in the blood without drawing blood, why is pulse oximeter relevant?","{""A"": ""It forms pictures from returning sound waves."", ""B"": ""It distinguishes soft tissues without using a knife."", ""C"": ""It uses light absorption differences to estimate oxygen level."", ""D"": ""It reconstructs slices that show internal structure.""}",It forms pictures from returning sound waves.,It distinguishes soft tissues without using a knife.,It uses light absorption differences to estimate oxygen level.,It reconstructs slices that show internal structure.,C,"[""pulse oximeter""]","[""pulse oximeter""]","[""pulse_oximeter""]",shines light through tissue and compares how colors are absorbed,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q030,fixed_q030,Medicine_Biology,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
What is the strongest explanation for applying CT scan to finding hidden injury inside the body?

Choices:
A. It turns a small trace into enough material to measure.
B. It reduces multiplication of the virus.
C. It lets surviving germs become more common after treatment.
D. It reconstructs slices that show internal structure.
",9eb19f9d1508ffc2,What is the strongest explanation for applying CT scan to finding hidden injury inside the body?,What is the strongest explanation for applying CT scan to finding hidden injury inside the body?,"{""A"": ""It turns a small trace into enough material to measure."", ""B"": ""It reduces multiplication of the virus."", ""C"": ""It lets surviving germs become more common after treatment."", ""D"": ""It reconstructs slices that show internal structure.""}",It turns a small trace into enough material to measure.,It reduces multiplication of the virus.,It lets surviving germs become more common after treatment.,It reconstructs slices that show internal structure.,D,"[""CT scan"", ""computed tomography""]","[""CT scan"", ""computed tomography""]","[""ct_scan""]",combines many narrow X-ray views into cross-section pictures,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q031,fixed_q031,Medicine_Biology,test,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
A group is evaluating tools for watching a moving organ inside the body. Which property of medical ultrasound matters most?

Choices:
A. It forms pictures from returning sound waves.
B. It uses little sample and short paths to speed measurement.
C. It finds statistical associations between variations and outcomes.
D. It may replace or support damaged specialized cells.
",ee74f85a246fd793,A group is evaluating tools for watching a moving organ inside the body. Which property of medical ultrasound matters most?,A group is evaluating tools for watching a moving organ inside the body. Which property of medical ultrasound matters most?,"{""A"": ""It forms pictures from returning sound waves."", ""B"": ""It uses little sample and short paths to speed measurement."", ""C"": ""It finds statistical associations between variations and outcomes."", ""D"": ""It may replace or support damaged specialized cells.""}",It forms pictures from returning sound waves.,It uses little sample and short paths to speed measurement.,It finds statistical associations between variations and outcomes.,It may replace or support damaged specialized cells.,A,"[""ultrasound""]","[""medical ultrasound"", ""ultrasound""]","[""medical_ultrasound""]",sends high-frequency sound and measures echoes,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q032,fixed_q032,Medicine_Biology,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Which statement gives the best reason that continuous glucose monitor is associated with tracking sugar changes between clinic visits?

Choices:
A. It uses light absorption differences to estimate oxygen level.
B. It shows trends that isolated measurements miss.
C. It may replace or support damaged specialized cells.
D. It binds mainly to the chosen marker instead of many unrelated ones.
",22268967dbbee452,Which statement gives the best reason that continuous glucose monitor is associated with tracking sugar changes between clinic visits?,Which statement gives the best reason that continuous glucose monitor is associated with tracking sugar changes between clinic visits?,"{""A"": ""It uses light absorption differences to estimate oxygen level."", ""B"": ""It shows trends that isolated measurements miss."", ""C"": ""It may replace or support damaged specialized cells."", ""D"": ""It binds mainly to the chosen marker instead of many unrelated ones.""}",It uses light absorption differences to estimate oxygen level.,It shows trends that isolated measurements miss.,It may replace or support damaged specialized cells.,It binds mainly to the chosen marker instead of many unrelated ones.,B,"[""continuous glucose monitor"", ""glucose monitor""]","[""continuous glucose monitor"", ""glucose monitor""]","[""continuous_glucose_monitor""]",uses a small sensor to measure body chemistry repeatedly,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q033,fixed_q033,Medicine_Biology,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
A team is working on linking inherited variations to disease risk. Which explanation best supports using genome-wide association study?

Choices:
A. It uses little sample and short paths to speed measurement.
B. It reduces multiplication of the virus.
C. It finds statistical associations between variations and outcomes.
D. It may replace or support damaged specialized cells.
",f84bb1597e36adfc,A team is working on linking inherited variations to disease risk. Which explanation best supports using genome-wide association study?,A team is working on linking inherited variations to disease risk. Which explanation best supports using genome-wide association study?,"{""A"": ""It uses little sample and short paths to speed measurement."", ""B"": ""It reduces multiplication of the virus."", ""C"": ""It finds statistical associations between variations and outcomes."", ""D"": ""It may replace or support damaged specialized cells.""}",It uses little sample and short paths to speed measurement.,It reduces multiplication of the virus.,It finds statistical associations between variations and outcomes.,It may replace or support damaged specialized cells.,C,"[""genome-wide association study"", ""GWAS""]","[""genome-wide association study"", ""GWAS""]","[""genome_wide_association_study""]",compares many hereditary positions across many people,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q034,fixed_q034,Medicine_Biology,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Consider the use of telemedicine for treating a patient who is far from the doctor. What is its most relevant advantage?

Choices:
A. It reduces the chance that the body rejects the donated organ.
B. It turns specific binding into a visible measurement.
C. It turns a small trace into enough material to measure.
D. It allows medical judgment without both people being in one room.
",15c85830902fae71,Consider the use of telemedicine for treating a patient who is far from the doctor. What is its most relevant advantage?,Consider the use of telemedicine for treating a patient who is far from the doctor. What is its most relevant advantage?,"{""A"": ""It reduces the chance that the body rejects the donated organ."", ""B"": ""It turns specific binding into a visible measurement."", ""C"": ""It turns a small trace into enough material to measure."", ""D"": ""It allows medical judgment without both people being in one room.""}",It reduces the chance that the body rejects the donated organ.,It turns specific binding into a visible measurement.,It turns a small trace into enough material to measure.,It allows medical judgment without both people being in one room.,D,"[""telemedicine""]","[""telemedicine""]","[""telemedicine""]","uses distant communication to exchange symptoms, advice, and records",false,[],[],[],{},"{""pass"": true}",0,true
fixed_q035,fixed_q035,Medicine_Biology,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Which mechanism explains why organ transplant matching can help with choosing a safer donor organ?

Choices:
A. It reduces the chance that the body rejects the donated organ.
B. It reconstructs slices that show internal structure.
C. It reduces multiplication of the virus.
D. It forms pictures from returning sound waves.
",72352ca2e5002749,Which mechanism explains why organ transplant matching can help with choosing a safer donor organ?,Which mechanism explains why organ transplant matching can help with choosing a safer donor organ?,"{""A"": ""It reduces the chance that the body rejects the donated organ."", ""B"": ""It reconstructs slices that show internal structure."", ""C"": ""It reduces multiplication of the virus."", ""D"": ""It forms pictures from returning sound waves.""}",It reduces the chance that the body rejects the donated organ.,It reconstructs slices that show internal structure.,It reduces multiplication of the virus.,It forms pictures from returning sound waves.,A,"[""organ transplant matching"", ""transplant""]","[""organ transplant matching"", ""transplant""]","[""organ_transplant_matching""]",compares biological markers between donor and patient,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q036,fixed_q036,Medicine_Biology,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
A decision-maker is comparing methods for slowing a virus inside the body. Why might antiviral drug be selected?

Choices:
A. It reduces the chance that the body rejects the donated organ.
B. It reduces multiplication of the virus.
C. It aims the change at a chosen location instead of altering many places.
D. It uses little sample and short paths to speed measurement.
",2ce18dd318a69665,A decision-maker is comparing methods for slowing a virus inside the body. Why might antiviral drug be selected?,A decision-maker is comparing methods for slowing a virus inside the body. Why might antiviral drug be selected?,"{""A"": ""It reduces the chance that the body rejects the donated organ."", ""B"": ""It reduces multiplication of the virus."", ""C"": ""It aims the change at a chosen location instead of altering many places."", ""D"": ""It uses little sample and short paths to speed measurement.""}",It reduces the chance that the body rejects the donated organ.,It reduces multiplication of the virus.,It aims the change at a chosen location instead of altering many places.,It uses little sample and short paths to speed measurement.,B,"[""antiviral drug"", ""antiviral""]","[""antiviral drug"", ""antiviral""]","[""antiviral_drug""]",interferes with a step the virus needs to copy itself,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q037,fixed_q037,Medicine_Biology,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
A treatment approach in regenerative medicine uses certain cells as part of an intervention for injured tissue. What is the main practical purpose of using these cells?

Choices:
A. To train immune defenses without using the complete disease-causing agent.
B. To prevent the immune system from attacking a transplanted organ.
C. To help restore tissue function by contributing to cells needed at the injury site.
D. To estimate blood oxygen level using differences in light absorption.
",c6d0c9d7fd804a75,A treatment approach in regenerative medicine uses certain cells as part of an intervention for injured tissue. What is the main practical purpose of using these cells?,A treatment approach in regenerative medicine uses certain cells as part of an intervention for injured tissue. What is the main practical purpose of using these cells?,"{""A"": ""To train immune defenses without using the complete disease-causing agent."", ""B"": ""To prevent the immune system from attacking a transplanted organ."", ""C"": ""To help restore tissue function by contributing to cells needed at the injury site."", ""D"": ""To estimate blood oxygen level using differences in light absorption.""}",To train immune defenses without using the complete disease-causing agent.,To prevent the immune system from attacking a transplanted organ.,To help restore tissue function by contributing to cells needed at the injury site.,To estimate blood oxygen level using differences in light absorption.,C,"[""regenerative medicine""]","[""regenerative medicine"", ""stem cell therapy"", ""stem cell""]","[""stem_cell_therapy""]",uses cells that can develop into specialized body cells,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q038,fixed_q038,Medicine_Biology,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Suppose a system must handle running a small chemical test quickly. Which statement best explains the role of lab-on-a-chip?

Choices:
A. It allows medical judgment without both people being in one room.
B. It reveals the exact order where differences can be found.
C. It reduces multiplication of the virus.
D. It uses little sample and short paths to speed measurement.
",930badd37a717f74,Suppose a system must handle running a small chemical test quickly. Which statement best explains the role of lab-on-a-chip?,Suppose a system must handle running a small chemical test quickly. Which statement best explains the role of lab-on-a-chip?,"{""A"": ""It allows medical judgment without both people being in one room."", ""B"": ""It reveals the exact order where differences can be found."", ""C"": ""It reduces multiplication of the virus."", ""D"": ""It uses little sample and short paths to speed measurement.""}",It allows medical judgment without both people being in one room.,It reveals the exact order where differences can be found.,It reduces multiplication of the virus.,It uses little sample and short paths to speed measurement.,D,"[""lab-on-a-chip""]","[""lab-on-a-chip""]","[""lab_on_a_chip""]",moves tiny drops through small channels on a plate,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q039,fixed_q039,Medicine_Biology,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
In a discussion about measuring a specific disease marker, which account of ELISA is the most accurate?

Choices:
A. It turns specific binding into a visible measurement.
B. It uses light absorption differences to estimate oxygen level.
C. It reduces multiplication of the virus.
D. It shows trends that isolated measurements miss.
",ed188f985efc147a,"In a discussion about measuring a specific disease marker, which account of ELISA is the most accurate?","In a discussion about measuring a specific disease marker, which account of ELISA is the most accurate?","{""A"": ""It turns specific binding into a visible measurement."", ""B"": ""It uses light absorption differences to estimate oxygen level."", ""C"": ""It reduces multiplication of the virus."", ""D"": ""It shows trends that isolated measurements miss.""}",It turns specific binding into a visible measurement.,It uses light absorption differences to estimate oxygen level.,It reduces multiplication of the virus.,It shows trends that isolated measurements miss.,A,"[""ELISA""]","[""ELISA""]","[""elisa""]",uses a binding reaction plus a color signal,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q040,fixed_q040,Medicine_Biology,dev,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Why would a specialist consider contact tracing app when working on finding people exposed to an infection?

Choices:
A. It aims the change at a chosen location instead of altering many places.
B. It helps identify contacts faster than memory alone.
C. It binds mainly to the chosen marker instead of many unrelated ones.
D. It allows medical judgment without both people being in one room.
",e40bcd45770b29f4,Why would a specialist consider contact tracing app when working on finding people exposed to an infection?,Why would a specialist consider contact tracing app when working on finding people exposed to an infection?,"{""A"": ""It aims the change at a chosen location instead of altering many places."", ""B"": ""It helps identify contacts faster than memory alone."", ""C"": ""It binds mainly to the chosen marker instead of many unrelated ones."", ""D"": ""It allows medical judgment without both people being in one room.""}",It aims the change at a chosen location instead of altering many places.,It helps identify contacts faster than memory alone.,It binds mainly to the chosen marker instead of many unrelated ones.,It allows medical judgment without both people being in one room.,B,"[""contact tracing app"", ""app""]","[""contact tracing app"", ""app""]","[""contact_tracing_app""]",keeps recent encounter records on a portable communication device,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q041,fixed_q041,Communication_Media,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Which statement best describes how smartphone contributes to coordinating work while away from a desk?

Choices:
A. It lets messages travel across many linked networks.
B. It allows playback while later parts are still arriving.
C. It lets a person communicate and consult records from many places.
D. It lets many distant people answer the same topic over time.
",6051dee0e1a8aa98,Which statement best describes how smartphone contributes to coordinating work while away from a desk?,Which statement best describes how smartphone contributes to coordinating work while away from a desk?,"{""A"": ""It lets messages travel across many linked networks."", ""B"": ""It allows playback while later parts are still arriving."", ""C"": ""It lets a person communicate and consult records from many places."", ""D"": ""It lets many distant people answer the same topic over time.""}",It lets messages travel across many linked networks.,It allows playback while later parts are still arriving.,It lets a person communicate and consult records from many places.,It lets many distant people answer the same topic over time.,C,"[""smartphone""]","[""smartphone""]","[""smartphone""]","combines pocket wireless speech, written messages, tools, and records",false,[],[],[],{},"{""pass"": true}",0,true
fixed_q042,fixed_q042,Communication_Media,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
A project is designed around sharing information between distant institutions. What is the main reason to include internet?

Choices:
A. It lets a person communicate and consult records from many places.
B. It lets many distant people answer the same topic over time.
C. It uses social links to pass messages rapidly.
D. It lets messages travel across many linked networks.
",d34a2961d9282fbb,A project is designed around sharing information between distant institutions. What is the main reason to include internet?,A project is designed around sharing information between distant institutions. What is the main reason to include internet?,"{""A"": ""It lets a person communicate and consult records from many places."", ""B"": ""It lets many distant people answer the same topic over time."", ""C"": ""It uses social links to pass messages rapidly."", ""D"": ""It lets messages travel across many linked networks.""}",It lets a person communicate and consult records from many places.,It lets many distant people answer the same topic over time.,It uses social links to pass messages rapidly.,It lets messages travel across many linked networks.,D,"[""internet""]","[""internet""]","[""internet""]",connects many smaller machine networks into one addressing system,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q043,fixed_q043,Communication_Media,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
When attempting spreading a public notice quickly, what is the clearest justification for using social media?

Choices:
A. It uses social links to pass messages rapidly.
B. It lets messages travel across many linked networks.
C. It reduces delay compared with ordinary letters.
D. It covers areas that ground wires or towers may not reach.
",daae71ea9762179b,"When attempting spreading a public notice quickly, what is the clearest justification for using social media?","When attempting spreading a public notice quickly, what is the clearest justification for using social media?","{""A"": ""It uses social links to pass messages rapidly."", ""B"": ""It lets messages travel across many linked networks."", ""C"": ""It reduces delay compared with ordinary letters."", ""D"": ""It covers areas that ground wires or towers may not reach.""}",It uses social links to pass messages rapidly.,It lets messages travel across many linked networks.,It reduces delay compared with ordinary letters.,It covers areas that ground wires or towers may not reach.,A,"[""social media""]","[""social media""]","[""social_media""]",lets many people publish short messages to connected groups,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q044,fixed_q044,Communication_Media,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Which description captures the useful function of streaming video in the context of watching moving pictures before the whole file arrives?

Choices:
A. It delivers text without a physical carrier.
B. It allows playback while later parts are still arriving.
C. It gives each worker access to a shared current copy.
D. It covers areas that ground wires or towers may not reach.
",e098d2dcaa4dedf0,Which description captures the useful function of streaming video in the context of watching moving pictures before the whole file arrives?,Which description captures the useful function of streaming video in the context of watching moving pictures before the whole file arrives?,"{""A"": ""It delivers text without a physical carrier."", ""B"": ""It allows playback while later parts are still arriving."", ""C"": ""It gives each worker access to a shared current copy."", ""D"": ""It covers areas that ground wires or towers may not reach.""}",It delivers text without a physical carrier.,It allows playback while later parts are still arriving.,It gives each worker access to a shared current copy.,It covers areas that ground wires or towers may not reach.,B,"[""streaming video"", ""streaming""]","[""streaming video"", ""streaming""]","[""streaming_video""]",sends picture data continuously in small parts,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q045,fixed_q045,Communication_Media,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
For a case involving sending a written note to a distant office, why is email relevant?

Choices:
A. It allows playback while later parts are still arriving.
B. It covers areas that ground wires or towers may not reach.
C. It delivers text without a physical carrier.
D. It lets messages travel across many linked networks.
",48c017c324bc07a9,"For a case involving sending a written note to a distant office, why is email relevant?","For a case involving sending a written note to a distant office, why is email relevant?","{""A"": ""It allows playback while later parts are still arriving."", ""B"": ""It covers areas that ground wires or towers may not reach."", ""C"": ""It delivers text without a physical carrier."", ""D"": ""It lets messages travel across many linked networks.""}",It allows playback while later parts are still arriving.,It covers areas that ground wires or towers may not reach.,It delivers text without a physical carrier.,It lets messages travel across many linked networks.,C,"[""email""]","[""email""]","[""email""]",moves written messages between machine mailboxes,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q046,fixed_q046,Communication_Media,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
What is the strongest explanation for applying video call to holding a meeting across distance?

Choices:
A. It reduces delay compared with ordinary letters.
B. It lets a person communicate and consult records from many places.
C. It gives each worker access to a shared current copy.
D. It lets participants see and hear one another while apart.
",c84a57be58e99e35,What is the strongest explanation for applying video call to holding a meeting across distance?,What is the strongest explanation for applying video call to holding a meeting across distance?,"{""A"": ""It reduces delay compared with ordinary letters."", ""B"": ""It lets a person communicate and consult records from many places."", ""C"": ""It gives each worker access to a shared current copy."", ""D"": ""It lets participants see and hear one another while apart.""}",It reduces delay compared with ordinary letters.,It lets a person communicate and consult records from many places.,It gives each worker access to a shared current copy.,It lets participants see and hear one another while apart.,D,"[""video call""]","[""video call""]","[""video_call""]",sends voice and moving pictures in both directions,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q047,fixed_q047,Communication_Media,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
A group is evaluating tools for distributing a recorded talk to subscribers. Which property of podcast matters most?

Choices:
A. It sends new recordings automatically to interested listeners.
B. It lets a machine read the address without manual typing.
C. It delivers text without a physical carrier.
D. It gives each worker access to a shared current copy.
",249b1d83e510603f,A group is evaluating tools for distributing a recorded talk to subscribers. Which property of podcast matters most?,A group is evaluating tools for distributing a recorded talk to subscribers. Which property of podcast matters most?,"{""A"": ""It sends new recordings automatically to interested listeners."", ""B"": ""It lets a machine read the address without manual typing."", ""C"": ""It delivers text without a physical carrier."", ""D"": ""It gives each worker access to a shared current copy.""}",It sends new recordings automatically to interested listeners.,It lets a machine read the address without manual typing.,It delivers text without a physical carrier.,It gives each worker access to a shared current copy.,A,"[""podcast""]","[""podcast""]","[""podcast""]",delivers recorded sound episodes through an electronic subscription feed,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q048,fixed_q048,Communication_Media,dev,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Which statement gives the best reason that digital camera is associated with sharing photographs without chemical film?

Choices:
A. It lets participants see and hear one another while apart.
B. It stores pictures as data that can be copied immediately.
C. It lets a person communicate and consult records from many places.
D. It uses social links to pass messages rapidly.
",56e2ee64f9b3a1e5,Which statement gives the best reason that digital camera is associated with sharing photographs without chemical film?,Which statement gives the best reason that digital camera is associated with sharing photographs without chemical film?,"{""A"": ""It lets participants see and hear one another while apart."", ""B"": ""It stores pictures as data that can be copied immediately."", ""C"": ""It lets a person communicate and consult records from many places."", ""D"": ""It uses social links to pass messages rapidly.""}",It lets participants see and hear one another while apart.,It stores pictures as data that can be copied immediately.,It lets a person communicate and consult records from many places.,It uses social links to pass messages rapidly.,B,"[""digital camera""]","[""digital camera""]","[""digital_camera""]",records light as numerical picture elements,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q049,fixed_q049,Communication_Media,test,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
A team is working on collecting advice from a community. Which explanation best supports using online forum?

Choices:
A. It lets participants see and hear one another while apart.
B. It lets a machine read the address without manual typing.
C. It lets many distant people answer the same topic over time.
D. It covers areas that ground wires or towers may not reach.
",d8e78114b69064d7,A team is working on collecting advice from a community. Which explanation best supports using online forum?,A team is working on collecting advice from a community. Which explanation best supports using online forum?,"{""A"": ""It lets participants see and hear one another while apart."", ""B"": ""It lets a machine read the address without manual typing."", ""C"": ""It lets many distant people answer the same topic over time."", ""D"": ""It covers areas that ground wires or towers may not reach.""}",It lets participants see and hear one another while apart.,It lets a machine read the address without manual typing.,It lets many distant people answer the same topic over time.,It covers areas that ground wires or towers may not reach.,C,"[""online forum""]","[""online forum""]","[""online_forum""]",keeps public written discussions in a shared electronic place,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q050,fixed_q050,Communication_Media,test,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Consider the use of instant messaging for coordinating a fast conversation in writing. What is its most relevant advantage?

Choices:
A. It covers areas that ground wires or towers may not reach.
B. It stores pictures as data that can be copied immediately.
C. It gives each worker access to a shared current copy.
D. It reduces delay compared with ordinary letters.
",f9dc9102efd0194e,Consider the use of instant messaging for coordinating a fast conversation in writing. What is its most relevant advantage?,Consider the use of instant messaging for coordinating a fast conversation in writing. What is its most relevant advantage?,"{""A"": ""It covers areas that ground wires or towers may not reach."", ""B"": ""It stores pictures as data that can be copied immediately."", ""C"": ""It gives each worker access to a shared current copy."", ""D"": ""It reduces delay compared with ordinary letters.""}",It covers areas that ground wires or towers may not reach.,It stores pictures as data that can be copied immediately.,It gives each worker access to a shared current copy.,It reduces delay compared with ordinary letters.,D,"[""instant messaging""]","[""instant messaging""]","[""instant_messaging""]",sends short written messages almost immediately between devices,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q051,fixed_q051,Communication_Media,test,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Which mechanism explains why satellite television can help with broadcasting programs over a wide region?

Choices:
A. It covers areas that ground wires or towers may not reach.
B. It uses social links to pass messages rapidly.
C. It reduces physical bulk while preserving the written content.
D. It places more likely relevant items before less relevant ones.
",3306458fb22266ac,Which mechanism explains why satellite television can help with broadcasting programs over a wide region?,Which mechanism explains why satellite television can help with broadcasting programs over a wide region?,"{""A"": ""It covers areas that ground wires or towers may not reach."", ""B"": ""It uses social links to pass messages rapidly."", ""C"": ""It reduces physical bulk while preserving the written content."", ""D"": ""It places more likely relevant items before less relevant ones.""}",It covers areas that ground wires or towers may not reach.,It uses social links to pass messages rapidly.,It reduces physical bulk while preserving the written content.,It places more likely relevant items before less relevant ones.,A,"[""satellite television"", ""satellite""]","[""satellite television"", ""satellite""]","[""satellite_television""]",relays signals through an object high above the earth,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q052,fixed_q052,Communication_Media,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
A decision-maker is comparing methods for opening a stored address from a printed sign. Why might QR code be selected?

Choices:
A. It stores pictures as data that can be copied immediately.
B. It lets a machine read the address without manual typing.
C. It allows playback while later parts are still arriving.
D. It lets many distant people answer the same topic over time.
",6ad706542bdd8bc7,A decision-maker is comparing methods for opening a stored address from a printed sign. Why might QR code be selected?,A decision-maker is comparing methods for opening a stored address from a printed sign. Why might QR code be selected?,"{""A"": ""It stores pictures as data that can be copied immediately."", ""B"": ""It lets a machine read the address without manual typing."", ""C"": ""It allows playback while later parts are still arriving."", ""D"": ""It lets many distant people answer the same topic over time.""}",It stores pictures as data that can be copied immediately.,It lets a machine read the address without manual typing.,It allows playback while later parts are still arriving.,It lets many distant people answer the same topic over time.,B,"[""QR code""]","[""QR code""]","[""qr_code""]",stores coded information in a square pattern read by a camera,false,[],[],[],{},"{""pass"": true}",0,true
